Player,Span,Matches,Innings,Runs,Average,highestscore,100s,50s
SM Pollock (Afr/ICC/SA),1995-2008,423,370,7386,28.73,130,3,30
A Flintoff (ENG/ICC),1998-2009,227,259,7315,31.39,167,8,44
IT Botham (ENG),1976-1992,218,267,7313,29.72,208,14,31
MR Marsh (AUS),2011-2025,226,251,7264,33.16,181,8,40
WR Hammond (ENG),1927-1947,85,140,7249,58.45,336*,22,24
CA Pujara (IND),2010-2023,108,181,7246,42.62,206*,19,35
DA Miller (SA/World),2010-2025,311,271,7241,38.31,139,9,32
GA Hick (ENG),1991-2001,185,232,7229,34.26,178,11,45
GR Marsh (AUS),1985-1992,167,208,7211,36.97,138,13,37
GJ Maxwell (AUS),2012-2025,282,265,7164,31.42,201*,10,35
DM Bravo (WI),2009-2022,204,241,7052,32.2,218,12,35
DG Bradman (AUS),1928-1948,52,80,6996,99.94,334,29,13
DL Vettori (ICC/NZ),1997-2015,442,383,6989,23.53,140,6,27
CR Ervine (ZIM),2010-2025,230,255,6980,29.95,160,8,39
L Hutton (ENG),1937-1955,79,138,6971,56.67,364,19,33
RJ Shastri (IND),1981-1992,230,249,6938,32.42,206,15,30
A Symonds (AUS),1998-2009,238,213,6887,40.27,162*,8,42
Kamran Akmal (PAK),2002-2017,268,283,6871,26.73,158*,11,27
DM de Silva (SL),2015-2026,201,242,6855,31.3,173,12,32
KF Barrington (ENG),1955-1968,82,131,6806,58.67,256,20,35
IJL Trott (ENG),2007-2015,127,165,6792,45.89,226,13,42
BJ Haddin (AUS),2001-2015,226,256,6790,30.72,169,6,34
Mudassar Nazar (PAK),1976-1989,198,231,6767,31.76,231,10,33
MDKJ Perera (SL),2013-2025,231,243,6726,29.11,153*,9,40
MM Ali (ENG),2014-2024,298,305,6678,25.2,155*,8,28
Mohammad Ashraful (Asia/BAN),2001-2013,261,311,6655,22.71,190,9,30
RA Smith (ENG),1988-1996,133,182,6655,41.85,175,13,43
SB Styris (NZ),1999-2011,248,238,6647,31.8,170,9,35
Wasim Akram (PAK),1984-2003,460,427,6615,18.73,257*,3,13
M Labuschagne (AUS),2018-2026,130,173,6567,41.04,215,13,37
Shubman Gill (IND),2019-2025,134,167,6530,44.42,269,19,26
GR Viswanath (IND),1969-1983,116,178,6519,39.03,222,14,37
T Bavuma (SA),2014-2025,157,202,6515,36.39,172,9,35
MW Gatting (ENG),1977-1995,171,226,6504,33.35,207,11,30
P Nissanka (SL),2021-2026,172,184,6485,37.48,210*,12,42
